Название,Рейтинг,Прогноз,Дата выставления рейтинга,ИНН,Регион,Отрасль
Республика Марий Эл,ruBBB+,Стабильный,11.07.2022,2903000446,Архангельская область,"лесная, деревообрабатывающая и целлюлозно-бумажная промышленность"
QIWI plc,ruA,Развивающийся,11.07.2022,--,Томская область,--
"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК",отозван,—,08.07.2022,--,Томская область,--
Облигации Томская область серии 35067,ruBBB+,—,08.07.2022,--,Томская область,--
Облигации Томская область серии 34055,ruBBB+,—,08.07.2022,--,--,--
Облигации Томская область серии 34062,ruBBB+,—,08.07.2022,--,--,--
Томская область,ruBBB+,Стабильный,08.07.2022,--,--,--
Облигации СИБУР Холдинг серии 001Р-01,ruAAA,—,08.07.2022,--,--,--
Облигации Белуга Групп серии БО-П05,ruA+(EXP),—,07.07.2022,5407496776,--,--
"""СДМ-БАНК"" (ПАО)",ruA-,Стабильный,07.07.2022,7744003039,Москва,банки
Облигации Автодор серии БО-003P-02,ruAA+,—,07.07.2022,--,--,--
"ООО МФК ""ДЖОЙ МАНИ""",ruB,Стабильный,06.07.2022,--,--,--
"ООО ""ПЕРВЫЙ КЛИЕНТСКИЙ БАНК""",ruB-,Развивающийся,06.07.2022,3666068423,Воронежская область,страхование
Облигации Транснефть серии БО-001P-12,отозван,—,05.07.2022,6312013969,Самарская область,страхование
Облигации СИНХ-Финанс серии БО-001P-01,отозван,—,05.07.2022,7725806898,Москва,транспорт
"АО ""СТРАХОВАЯ БИЗНЕС ГРУППА""",ruBBB,Развивающийся,04.07.2022,7702352454,Москва,транспорт
"АО ""ОСК""",ruA,Развивающийся,04.07.2022,5835115642,--,--
